1.5,885.3,680.06,60.05,570.0,414.0,307.0,1.2,0.035,0.22,0.011,0.001,0.001
0.96,914.38,701.1,75.38,660.0,427.0,780.0,0.3,0.0023,0.07,0.0089,0.001,0.062
0.8,897.6,564.52,72.37,670.0,429.0,928.0,0.8,0.045,0.15,0.0049,0.001,0.001
0.8,922.23,700.11,79.38,660.0,429.0,810.0,0.3,0.003,0.08,0.004,0.001,0.065
3.0,874.39,680.49,44.25,570.0,417.0,299.0,2.2,0.035,0.21,0.008,0.001,0.001
0.7,916.52,697.61,81.88,670.0,427.0,907.0,0.3,0.0018,0.07,0.008,0.001,0.057
0.8,914.29,697.3,79.38,670.0,428.0,900.0,0.3,0.0017,0.07,0.003,0.001,0.06
1.2,912.88,565.78,69.2,670.0,428.0,900.0,0.8,0.035,0.15,0.005,0.001,0.001
0.8,889.37,574.32,74.69,590.0,269.0,396.0,1.2,0.05,0.27,0.002,0.001,0.001
2.0,890.48,580.91,49.1,570.0,283.0,347.0,1.8,0.045,0.25,0.004,0.001,0.001
0.7,888.71,550.26,69.71,670.0,429.0,899.0,0.6,0.035,0.16,0.006,0.001,0.001
1.0,911.66,572.64,74.23,670.0,428.0,931.0,0.8,0.04,0.16,0.006,0.001,0.001
0.8,913.1,701.56,79.38,660.0,425.0,795.0,0.3,0.0023,0.07,0.008,0.001,0.06
1.2,914.61,699.29,72.76,660.0,425.0,764.0,0.3,0.0018,0.06,0.005,0.001,0.059
0.9,915.48,697.2,76.88,660.0,365.0,780.0,0.3,0.0021,0.06,0.004,0.001,0.063
1.2,914.86,567.85,69.2,670.0,426.0,915.0,0.8,0.045,0.18,0.007,0.001,0.001
1.15,920.1,706.11,73.87,660.0,425.0,764.0,0.3,0.0021,0.06,0.005,0.001,0.06
0.65,897.13,572.34,75.79,670.0,430.0,909.0,0.8,0.04,0.17,0.003,0.001,0.001
0.7,925.45,700.12,81.88,660.0,425.0,795.0,0.6,0.0025,0.08,0.005,0.001,0.062
0.65,911.43,567.99,75.79,670.0,426.0,900.0,0.8,0.0399,0.1599,0.008,0.001,0.001
2.0,889.05,678.88,54.58,570.0,424.0,307.0,2.2,0.04,0.21,0.004,0.001,0.001
0.65,930.86,697.33,80.71,660.0,430.0,780.0,0.3,0.0019,0.08,0.004,0.001,0.062
1.2,906.64,576.32,66.47,570.0,385.0,334.0,1.2,0.05,0.41,0.003,0.001,0.001
1.2,891.76,574.45,62.06,590.0,377.0,394.0,1.2,0.05,0.2599,0.0049,0.001,0.001
1.2,879.2,573.26,65.31,590.0,291.0,332.0,1.2,0.05,0.25,0.002,0.001,0.001
1.2,892.28,580.67,65.31,590.0,278.0,388.0,1.2,0.045,0.23,0.002,0.001,0.001
0.6,909.17,700.08,82.17,660.0,426.0,810.0,0.3,0.0025,0.04,0.006,0.001,0.064
1.5,893.44,586.78,56.2,590.0,261.0,376.0,1.2,0.06,0.47,0.003,0.001,0.001
0.8,882.98,575.53,73.0,570.0,250.0,403.0,1.2,0.045,0.27,0.003,0.001,0.001
0.7,924.58,699.94,78.21,690.0,307.0,990.0,0.5,0.0031,0.43,0.006,0.001,0.04
1.0,892.62,576.46,72.11,590.0,247.0,390.0,1.2,0.05,0.41,0.004,0.001,0.001
0.7,886.58,575.25,76.43,590.0,248.0,404.0,1.0,0.05,0.42,0.011,0.001,0.001
