Thickness,FRT,CT,% TCM Reduc,Cold Spot,Control Heating Time,Soaking Time,SPM Elongation,% Carbon,% Mn,%SI,%NB,%TI,YS (Mpa),,,,
0.65,910.62,699.03,80.71,660,427,818,0.3,0.0027,0.06,0.007,0.001,0.065,155,,,,
0.6,903.86,698.57,82.17,660,427,826,0.3,0.003,0.06,0.005,0.001,0.068,168,,,,
0.6,909.28,698.73,82.17,670,425,860,0.3,0.0021,0.07,0.006,0.001,0.068,160,,,,
0.8,894.81,702.65,79.38,660,426,818,0.3,0.0022,0.05,0.003,0.001,0.068,153,,,,
0.65,906.52,698.45,80.71,660,337,840,0.3,0.0018,0.06,0.005,0.001,0.063,149,,,,
0.7,899.9,700.29,81.88,660,429,762,0.3,0.0024,0.06,0.005,0.001,0.063,165,,,,
0.65,904.18,698.77,80.71,660,336,855,0.3,0.0023,0.05,0.0089,0.001,0.068,165,,,,
0.6,896.18,700.91,82.17,660,336,855,0.3,0.0029,0.07,0.007,0.001,0.062,161,,,,
1.6,899.45,575.41,68.56,670,425,984,0.8,0.04,0.18,0.01,0.001,0.001,164,,,,
0.7,887.56,570.15,74,670,430,1050,0.8,0.04,0.15,0.005,0.001,0.001,170,,,,
0.78,889.91,566.25,68.88,670,427,870,0.8,0.04,0.17,0.007,0.001,0.001,168,,,,
0.65,909.06,698.86,80.71,660,429,762,0.3,0.0022,0.07,0.006,0.001,0.067,170,,,,
0.65,912.98,699.66,80.71,660,337,840,0.3,0.0022,0.07,0.008,0.001,0.063,176,,,,
0.65,914.1,700.84,80.71,690,427,928,0.3,0.0024,0.05,0.007,0.001,0.063,174,,,,
0.6,914.11,700.78,82.17,660,427,844,0.3,0.0024,0.07,0.006,0.001,0.081,171,,,,
0.9,917.37,698.51,79.44,690,427,928,0.3,0.0023,0.07,0.004,0.001,0.066,171,,,,
1.2,923.93,698.43,72.76,660,334,840,0.3,0.0019,0.06,0.005,0.001,0.07,158,,,,
1.2,920.81,699.51,72.76,660,428,840,0.3,0.0016,0.06,0.005,0.001,0.07,152,,,,
0.65,917.63,697.41,80.71,660,431,714,0.3,0.0026,0.06,0.006,0.001,0.067,154,,,,
0.6,919.1,698.86,82.17,670,426,884,0.3,0.003,0.07,0.01,0.001,0.068,172,,,,
1.2,921.31,697.02,72.76,660,336,910,0.3,0.0024,0.06,0.007,0.001,0.066,161,,,,
1.2,921.86,697.81,72.76,660,338,927,0.3,0.002,0.07,0.004,0.001,0.069,178,,,,
0.8,912.53,699.62,79.38,660,429,832,0.3,0.0021,0.07,0.006,0.001,0.068,173,,,,
0.6,899.95,698.98,82.17,660,425,856,0.3,0.0029,0.07,0.007,0.001,0.062,167,,,,
1.2,912.25,697.84,72.76,660,427,825,0.3,0.0017,0.06,0.008,0.001,0.07,167,,,,
0.7,913.59,699.12,81.88,660,424,815,0.3,0.0023,0.06,0.008,0.001,0.07,161,,,,
0.6,919.3,702.07,82.17,660,336,930,0.3,0.0027,0.07,0.006,0.001,0.0719,164,,,,
0.7,909.5,697.02,81.88,660,425,870,0.3,0.002,0.06,0.004,0.001,0.063,157,,,,
0.6,910.28,702.13,82.17,660,426,885,0.3,0.0027,0.08,0.004,0.001,0.07,171,,,,
0.8,903.61,696.4,79.38,660,426,765,0.3,0.0023,0.06,0.006,0.001,0.061,170,,,,
0.8,910.41,699.09,79.38,660,425,755,0.3,0.0027,0.06,0.006,0.001,0.066,178,,,,
0.7,913.78,698.73,81.88,660,366,765,0.3,0.003,0.06,0.005,0.001,0.068,178,,,,
0.7,898.67,567.71,74,670,426,1020,0.8,0.045,0.16,0.006,0.001,0.001,168,,,,
0.8,916.64,697.46,79.38,660,425,755,0.3,0.0025,0.07,0.008,0.001,0.07,165,,,,
